date,high,low,open,close,volume,quoteVolume,weightedAverage
2017-01-24 04:00:00,923,911.0880792,911.0880792,917.6499998,220392.2424,240.4104837,916.7330766
2017-01-24 08:00:00,918,892,915,904,326986.1478,360.6752236,906.5944274
2017-01-24 12:00:00,909.7499985,899,904,902.5,212811.1997,235.5246206,903.5624351
2017-01-24 16:00:00,909.99,900.5000048,900.5000048,903.090001,124449.8669,137.4139706,905.6565814
2017-01-24 20:00:00,904.8899997,884.281,903,885.0000001,569629.5404,637.8053819,893.1087077
2017-01-25 00:00:00,899.99,884.9000001,885.1000004,896.0157281,327657.789,367.6754631,891.1603355
2017-01-25 04:00:00,898,891.52,895,892.1690383,65918.05296,73.72085275,894.1574942
2017-01-25 08:00:00,898.5035042,886.51,893.6325982,892,108777.1425,121.8379117,892.8020925
2017-01-25 12:00:00,896.7999997,882.08,892.01,887,175887.3301,198.0931798,887.9019978
2017-01-25 16:00:00,896.8962002,885.001,887,895.760801,165419.8831,185.4613385,891.9372872
2017-01-25 20:00:00,898.1266699,892.1,893.01,892.6677726,105195.717,117.4678888,895.5274342
2017-01-26 00:00:00,903.5773549,892.6677726,892.6677726,902,248814.7011,276.7171501,899.1661741
2017-01-26 04:00:00,903,894.5487312,902,899.4399947,71139.93994,79.08441646,899.5443493
2017-01-26 08:00:00,905,897.1009725,899.4399914,903,96320.10885,106.7321481,902.4470186
2017-01-26 12:00:00,916.648749,901.6987121,903,916.4914078,269920.9965,296.5490975,910.2067711
2017-01-26 16:00:00,918,910.0500002,916.4,917,205315.0553,224.4976727,914.553157
2017-01-26 20:00:00,917.3,910.5000001,917,914.0976707,106053.9514,115.9881523,914.3515887
2017-01-27 00:00:00,920.777,910.338,916,913.5214761,215238.1339,234.877599,916.3842562
2017-01-27 04:00:00,918,907.8,911,918,99360.81596,108.8989189,912.413245
2017-01-27 08:00:00,918,912.356,917.714225,916.3802554,90118.52723,98.36235741,916.1891764
2017-01-27 12:00:00,920.1931093,914.0756612,915.765994,920,103025.6135,112.3866895,916.7065423
